id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,material,internal_tag,image_path,image_exists,phash
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Shirt,Cotton,CLTH-015970,dataset\images\15970.jpg,True,e4c6e6ce6c1c309b
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Peter England Men Party Blue Jeans,Denim,CLTH-039386,dataset\images\39386.jpg,True,e93e968988659c67
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Women Silver Watch,Metal,CLTH-059263,dataset\images\59263.jpg,True,e3cc9392cc638d39
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,Manchester United Men Solid Black Track Pants,Polyester,CLTH-021379,dataset\images\21379.jpg,True,b463cb9ccb34cb30
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt,Cotton,CLTH-053759,dataset\images\53759.jpg,True,e193b39b6949c4c6
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Mens Chain Reaction T-shirt,Cotton,CLTH-001855,dataset\images\1855.jpg,True,b2c3678b348fc899
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Shirt,Cotton,CLTH-030805,dataset\images\30805.jpg,True,e8c6871e78691b95
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Shirt,Cotton,CLTH-026960,dataset\images\26960.jpg,True,a4c7c6965a7892d3
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012.0,Casual,Puma Men Pack of 3 Socks,Mixed,CLTH-029114,dataset\images\29114.jpg,True,b898c7639cc7c1cc
30039,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Skagen Men Black Watch,Metal,CLTH-030039,dataset\images\30039.jpg,True,b49ad290cf6bcc25
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,Mixed,CLTH-009204,dataset\images\9204.jpg,True,bf9dc06036974b58
48123,Women,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Fossil Women Black Huarache Weave Belt,Leather,CLTH-048123,dataset\images\48123.jpg,True,ee91912e6eb1a48e
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011.0,Casual,Fila Men Cush Flex Black Slippers,Rubber,CLTH-018653,dataset\images\18653.jpg,True,ae94d1683e96c279
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012.0,Casual,Murcia Women Blue Handbag,Leather,CLTH-047957,dataset\images\47957.jpg,True,bcc68739c14e9ce4
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,2012.0,Casual,Ben 10 Boys Navy Blue Slippers,Rubber,CLTH-046885,dataset\images\46885.jpg,True,b896c3693c96c369
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Formal,Reid & Taylor Men Check Purple Shirts,Cotton,CLTH-012369,dataset\images\12369.jpg,True,bfe4d1e0d470909e
29928,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Police Men Black Dial Watch PL12889JVSB,Metal,CLTH-029928,dataset\images\29928.jpg,True,bcc1944bc33dcd70
42419,Girls,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Gini and Jony Girls Knit White Top,Cotton,CLTH-042419,dataset\images\42419.jpg,True,b019cfe691396ccc
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016.0,Casual,Bwitch Beige Full-Coverage Bra BW335,Mixed,CLTH-051832,dataset\images\51832.jpg,True,a973e7e6c60c1c1c
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Baggit Women Brown Handbag,Leather,CLTH-047359,dataset\images\47359.jpg,True,e991966a96644e9e
17429,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,Metal,CLTH-017429,dataset\images\17429.jpg,True,ec9b9139ce649c98
